Tanggal,Arah Angin Saat Kec Maks,Arah Angin Terbanyak,Kec Angin Maks,Kec Angin Rata-rata,Kelembaban,Lamanya Penyinaran,Temp Maks,Temp Min,Temp Rata-rata,Curah Hujan
43466,250.0,W ,4.0,3.0,88.0,2.1,30.0,22.2,25.4,16.1
43467,280.0,W ,5.0,3.0,81.0,0.1,32.6,22.4,27.3,1.0
43468,260.0,W ,6.0,4.0,76.0,4.9,33.2,22.4,27.4,4.5
43469,280.0,SW,6.0,3.0,73.0,8.4,34.2,22.6,28.7,
43470,90.0,SW,3.0,2.0,76.0,9.7,33.4,23.4,28.0,
43471,230.0,C ,3.0,1.0,79.0,5.9,33.5,23.3,28.3,46.0
43472,90.0,S ,4.0,2.0,78.0,10.2,33.4,22.8,29.1,
43473,240.0,C ,3.0,1.0,84.0,7.9,32.9,23.8,27.9,
43474,40.0,C ,4.0,1.0,84.0,6.0,32.0,23.3,28.0,3.5
43475,250.0,W ,3.0,2.0,86.0,5.3,31.0,23.6,27.2,16.6
43476,280.0,W ,4.0,2.0,81.0,,32.4,24.8,28.2,1.1
43477,320.0,NW,4.0,2.0,80.0,6.1,33.2,24.8,29.0,
43478,340.0,C ,3.0,1.0,86.0,7.5,33.0,24.8,27.8,0.5
43479,140.0,W ,3.0,2.0,88.0,2.9,29.4,23.4,26.5,30.2
43480,250.0,W ,5.0,2.0,84.0,1.0,31.6,24.2,27.7,8888.0
43481,270.0,C ,4.0,1.0,89.0,2.7,28.6,24.2,26.7,
43482,270.0,SW,5.0,3.0,86.0,0.0,30.4,23.8,26.9,7.1
43483,200.0,W ,4.0,2.0,86.0,5.4,30.4,24.4,27.5,2.0
43484,280.0,W ,3.0,1.0,86.0,0.0,28.8,24.0,26.7,0.8
43485,330.0,C ,3.0,1.0,82.0,0.4,31.8,23.4,27.9,2.6
43486,190.0,C ,5.0,1.0,92.0,3.2,28.8,24.4,26.1,
43487,270.0,C ,3.0,1.0,94.0,0.0,27.2,,24.8,45.3
43488,250.0,W ,3.0,2.0,90.0,0.0,29.7,,26.6,24.0
43489,290.0,W ,6.0,2.0,83.0,1.9,31.6,22.5,27.6,8888.0
43490,270.0,W ,4.0,1.0,90.0,7.1,29.4,,25.9,26.4
43491,260.0,W ,4.0,2.0,87.0,1.3,30.9,22.4,27.6,19.2
43492,290.0,W ,4.0,2.0,90.0,6.9,28.6,23.5,26.9,7.5
43493,310.0,NW,4.0,2.0,88.0,0.0,30.0,,27.3,2.9
43494,290.0,W ,5.0,2.0,85.0,0.1,31.0,24.6,27.8,0.2
43495,270.0,W ,4.0,2.0,85.0,6.4,31.4,23.4,27.2,24.5
43496,250.0,W ,5.0,2.0,86.0,4.8,30.8,23.6,26.7,
43497,240.0,C ,4.0,1.0,97.0,3.1,31.6,23.4,25.8,8888.0
43498,320.0,C ,4.0,1.0,91.0,4.6,31.2,23.0,27.3,32.4
43499,300.0,W ,4.0,2.0,94.0,5.6,33.2,23.4,28.2,
43500,270.0,W ,4.0,2.0,90.0,7.0,32.4,24.8,27.3,1.3
43501,250.0,W ,4.0,2.0,90.0,6.6,31.8,23.8,27.0,15.0
43502,240.0,NW,5.0,2.0,93.0,3.7,32.2,24.2,28.3,6.4
43503,290.0,W ,4.0,2.0,90.0,7.9,33.6,24.4,28.6,
43504,320.0,C ,4.0,2.0,88.0,7.0,31.6,25.0,28.0,
43505,300.0,C ,3.0,1.0,87.0,,31.6,23.8,27.3,8888.0
43506,250.0,W ,5.0,2.0,78.0,4.4,32.6,24.2,28.3,8888.0
43507,190.0,W ,4.0,2.0,78.0,6.4,33.2,23.6,27.6,3.0
43508,350.0,C ,4.0,1.0,77.0,5.1,32.0,24.2,27.4,2.5
43509,270.0,NW,3.0,1.0,80.0,6.3,30.8,24.6,28.1,8888.0
43510,260.0,W ,4.0,2.0,87.0,0.9,32.0,24.2,28.3,0.0
43511,310.0,NW,3.0,2.0,84.0,6.3,31.0,24.8,28.1,
43512,320.0,C ,3.0,1.0,88.0,1.4,31.8,24.2,27.8,8888.0
43513,270.0,W ,4.0,2.0,91.0,1.3,31.6,23.8,27.5,77.4
43514,300.0,C ,3.0,1.0,87.0,6.6,31.6,23.0,28.3,
43515,100.0,C ,3.0,1.0,86.0,3.2,32.8,24.8,28.0,8888.0
43516,80.0,C ,3.0,1.0,90.0,3.4,31.4,25.0,27.7,0.0
43517,40.0,C ,3.0,1.0,85.0,1.4,29.4,25.0,27.3,1.3
43518,260.0,C ,4.0,2.0,85.0,2.8,31.2,23.8,27.0,5.7
43519,290.0,W ,4.0,2.0,88.0,4.8,33.0,23.0,26.7,3.8
43520,20.0,C ,5.0,1.0,84.0,6.7,32.4,24.2,27.8,8.2
43521,160.0,W ,4.0,2.0,90.0,6.3,33.2,24.4,28.4,
43522,100.0,E ,4.0,2.0,84.0,4.6,33.6,24.4,28.7,1.8
43523,50.0,E ,4.0,2.0,86.0,6.8,33.0,24.8,29.5,8888.0
43524,210.0,C ,4.0,1.0,88.0,7.3,33.2,26.4,29.3,
43525,140.0,C ,3.0,1.0,90.0,5.6,30.4,25.2,27.4,
43526,270.0,C ,3.0,1.0,87.0,2.9,31.8,24.2,27.7,4.1
43527,240.0,W ,5.0,1.0,86.0,2.9,29.8,23.8,26.6,22.2
